"GP","mean_change_loadings_CD4","mean_change_loadings_CD8","AveExpr_CD4","AveExpr_CD8","d_CD4","d_CD8","Ratio_CD8_CD4"
"GP18",-5.47512970254985e-05,-0.000219355353789564,0.000248263205560579,0.000279962941505561,-0.00771912384954334,-0.0309258635859069,4.00639556881011
"GP19",-5.78185790601439e-05,-1.75832773207395e-05,7.27690503502119e-05,3.36726692787769e-05,-0.0128903827723634,-0.0039201097422539,0.304111197586662
"GP20",0.00124648261990056,0.00286303786456284,0.000509268797316839,0.00134023632440168,0.0862756515517243,0.198165985821865,2.29689352972385
"GP21",0.0016393320105054,0.00100549888849431,0.00117948806357405,0.00243391627788718,0.085387977931181,0.0523734767273348,0.613358905975564
"GP22",0.00171530540795149,0.00355372367544904,0.000713559004155942,0.00727137072341397,0.0528570517803295,0.10950782027238,2.07177314254089
"GP23",0.0203524248972193,0.00390312375471231,0.0474243146996456,0.0453856831542675,0.573201515570665,0.109926775947304,0.191776841060624
"GP24",2.14568551103584e-06,-1.48309867975219e-05,5.75099298629841e-05,3.02519814325387e-05,0.000672094751099194,-0.00464552159623054,-6.91200398252315
"GP25",0.143014881712013,0.120239089339977,0.0923325697780287,0.102103369570179,1.33882104607024,1.12560749931494,0.840745297976061
"GP26",0.126102302687399,0.170232478189127,0.082906197443181,0.119154062237387,1.08669775828225,1.46699345287564,1.3499553502296
"GP27",0.00867483900641874,0.000885804811200344,0.00304576552604532,0.000424618163134416,0.602955993457801,0.0615690181168559,0.102111959719934
"GP28",0.0127339334742929,0.000178230702031953,0.004300292848389,0.000116086718510147,0.471244320734214,0.00659577861644935,0.013996515875614
"GP29",0.0190886614585168,0.03814145014673,0.0386792076084607,0.0592117223460686,0.416603311926595,0.832423713278293,1.99812072887449
"GP30",0.0347899636447758,0.0246715764571375,0.0409274195723323,0.0465226090437193,0.95092340007053,0.674354811326287,0.709157868316491
"GP31",2.35002169413879e-05,5.41894823568007e-05,6.29884318797096e-05,8.49833783106185e-05,0.00456795288147295,0.0105333071049793,2.30591413228036
"GP32",0.0568547774532374,0.0993743336270343,0.121091101664507,0.159034455284568,0.473602116566605,0.827791380889127,1.74786250300195
"GP33",-7.29260222400731e-05,-0.000269993623935569,0.000344005157582934,0.000302857800846297,-0.00732177183757174,-0.0271073568985792,3.70229467674443
"GP34",0.000562688328887863,8.39209971705425e-07,0.000321073379771186,0.000126548488718167,0.0728992494911829,0.000108724091050117,0.0014914294976832
"GP35",0.04567985384394,0.0190904985365637,0.0882419469703081,0.0761449063142349,0.530951649923028,0.221895011539892,0.417919431217625
"GP36",0.00928474071865692,0.00017231207465353,0.00316073847071693,0.000104259482757897,0.429646032986819,0.00797364208155582,0.0185586307550068
"GP37",7.97263207077614e-05,0.000167025463025113,4.03458336431715e-05,8.17604828798927e-05,0.0326101940051449,0.0683178742565233,2.0949852136956
"GP38",5.25820097610401e-05,0.000140086212730569,1.98233212965167e-05,5.18339714260594e-05,0.0145538536009866,0.0387736079480932,2.66414717442703
"GP39",-9.52062557160006e-05,4.24704619553501e-05,0.000268786760824923,0.000238732207240798,-0.0225522879589428,0.010060327239667,-0.446088984762084
"GP40",0.00137212980329982,0.00136288926292913,0.00104266579182355,0.000911444732101074,0.109267982419854,0.108532122590597,0.993265549404679
"GP41",-0.0430733297702666,-0.0398027344950891,0.16309503834734,0.129333204792869,-0.370634990979221,-0.342492354763786,0.924069132973435
"GP42",6.13149813442074e-05,1.010055230796e-05,5.91587077657678e-05,3.91784588086558e-05,0.0171947440411857,0.00283252816526197,0.164732208777133
"GP43",-0.0133468633794916,0.0485566204191399,0.18091767631706,0.180696582556255,-0.0956931153112479,0.348136797746275,-3.63805480272993
"GP44",0.000383468638559233,-2.49024076981815e-05,0.0029063125042093,0.00279564104571405,0.0589282671061042,-0.00382679464463394,-0.0649398808511295
"GP45",-1.30920674640426e-05,-1.34914349663221e-05,2.39718761218873e-05,2.13912994423471e-05,-0.00530600756593969,-0.00546786488866624,1.03050454050717
"GP46",-9.2685478245019e-06,-1.67575805710183e-05,3.26366432629566e-05,2.96297472760114e-05,-0.00347248426196441,-0.00627826881872825,1.80800497427642
"GP47",5.42157139937728e-05,0.000163657462180146,2.4089957207463e-05,6.24525368205508e-05,0.0152492372999728,0.0460318843533631,3.01863519124628
"GP48",0.000119404690948928,-1.98354122559175e-05,0.000142250347426024,6.65210523739863e-05,0.0187280375886594,-0.00311108670323738,-0.166119204348526
"GP49",-0.0361643171061018,-0.0333687230262459,0.18615068027453,0.168898436181173,-0.283667277325384,-0.261739072271406,0.92269744589248
"GP50",0.00323507260175689,7.33587220773113e-05,0.00267745584384315,0.00162735573153351,0.128747798414492,0.00291949366355031,0.0226760666939815
"GP51",0.010906847084274,0.0141602253024635,0.125120625598024,0.108279070400357,0.139307989989537,0.180861848474011,1.29828768965509
"GP52",9.895155783335e-06,-2.86954964092383e-05,3.38647805091953e-05,3.92737095708572e-05,0.00287897929212774,-0.00834890746021983,-2.89995398127698
"GP53",1.14552048827957e-05,1.79306900056404e-05,3.0200273244596e-05,1.89288234426919e-05,0.00634434445824789,0.00993072362596476,1.56528758665593
"GP54",-0.00177024977019542,-0.00379544218714229,0.00319619104829392,0.00297829382844187,-0.0518522873755164,-0.111172085610911,2.14401507123106
"GP55",-3.23137836049765e-05,-0.000112771925108632,0.000132890044928597,0.000148567678293789,-0.00711695804789601,-0.0248374832792716,3.4899016001105
"GP56",0.00400916471439787,5.65482193867462e-05,0.00133975010583941,3.62529391929584e-05,0.219093535057641,0.00309025699097973,0.0141047383719776
"GP57",0.00805841670754899,0.00347125979110634,0.00294815256612167,0.00154783674590144,0.36843241639092,0.158706688816412,0.43076201158157
"GP58",0.00588651734644278,-0.196595163494638,0.0621802645838251,0.331472074993508,0.0357764461237549,-1.19484507749001,-33.3975340467553
"GP59",2.63612249742637e-05,-3.87776045753522e-07,2.11683550401112e-05,1.05432507264033e-05,0.00978739302070593,-0.000143973452201494,-0.0147100920436022
"GP60",7.62938855404031e-05,-5.5690627912339e-05,8.02207267462618e-05,9.20188170634641e-05,0.0155550657606464,-0.0113544011199871,-0.729948770047199
"GP61",-0.00570167908369894,-0.00517047943968915,0.0245984799783373,0.020974008385742,-0.14808739384425,-0.13429076135448,0.906834524319602
"GP62",0.00650512410509056,0.01188198226993,0.00222447348122376,0.00448341803969776,0.226175496325777,0.413122516007415,1.8265573535533
"GP63",0.0200752371883927,0.0342819228256988,0.0391748145757166,0.0475388706278781,0.3917994449222,0.669064988270254,1.70767211883904
"GP64",-1.53512006892866e-05,2.28368576812075e-05,8.68558067651865e-05,7.17102187231889e-05,-0.00292475197019691,0.00435093943777516,-1.48762680805451
"GP65",-1.25023546787504e-05,8.58230533570663e-05,0.000170203006147368,0.000162915191046492,-0.00313334060838664,0.0215089769190828,-6.86455116354483
"GP66",3.24639240535406e-05,1.64052230969332e-06,2.97314092724055e-05,1.03634472827067e-05,0.00962019458939647,0.000486144060140956,0.0505337034114457
