"GP","blood","spleen","LN","bone marrow","lung","liver","peritoneal cavity","colon epi","small intestine epi","colon LP","small intestine LP","skin","mammary gland","uterus","placenta","submandibular gland","kidney","CNS"
"GP49",0.63129411374514,0.513543082717723,0.518929263887494,0.684631953724994,0.529718113946428,0.600632569827933,0.497192702100732,0.545866185550767,0.565172817538344,0.535145963521304,0.561020023143033,0.64360057276745,0.906913725161948,0.594674610709487,0.691974532671429,0.602899503291591,0.633982466526852,0.921259945977127
"GP50",0.519039394957202,0.55731148653085,0.532131094240707,0.535460580127872,0.54673268606777,0.58170812053778,0.564776325045037,0.684332377212233,0.63397109836124,0.524166470705642,0.513578249330998,0.499002579881621,0.488005936053993,0.553332504804094,0.654691367637173,0.587077661064456,0.555881500418902,0.656691126575686
"GP51",0.525250757814433,0.514597040173934,0.545712709589528,0.541946820334683,0.60626806250658,0.505455306987766,0.594919286753206,0.497394157506273,0.504373285762964,0.621294707692639,0.57063168494494,0.54586989032348,0.783511696090553,0.737758027294003,0.690036143152027,0.55643745760795,0.509657479197336,0.664858557640998
"GP52",0.571263064811805,0.511966408002203,0.528848136414728,0.593874412106766,0.555543175976808,0.54756734790073,0.660930916031799,0.50575500999787,0.49694447471167,0.595873343497431,0.506289438939267,0.577765477982344,0.590251565670974,0.667027842942078,0.508686214543819,0.648689643352621,0.497112394543715,0.52829376982255
"GP53",0.539096129712548,0.513802608293555,0.561650810614989,0.56467229339019,0.588334955705003,0.527499215124953,0.56089710723627,0.619425445759307,0.60327722636187,0.557743384259666,0.50384275718735,0.55515480697381,0.57602723269369,0.569987856411084,0.654325582020197,0.511158180039835,0.515114033815145,0.83364422127762
"GP54",0.540559572872984,0.524789421772381,0.586128189206594,0.529271333220492,0.562066000946029,0.549917662175077,0.520553176531953,0.511874341853484,0.541861264678977,0.582596663968454,0.606618323793617,0.736817230908216,0.567502688081406,0.572572232421074,0.699280058107127,0.541375831994516,0.586237504427367,0.659118468439259
"GP55",0.519348334276137,0.524388006548421,0.556643407688735,0.523017559120184,0.522288509781207,0.509500358653301,0.501118144207029,0.569296673032167,0.579663041432309,0.526089523929898,0.564641107391497,0.567071727462083,0.670622057841568,0.59657626284553,0.68259449073655,0.57202204671898,0.549021596977712,0.74175235687817
"GP56",0.50382163157717,0.516358160551592,0.572589942015491,0.511244198547138,0.493972922038886,0.510831156458246,0.510955660243804,0.645005879053157,0.580399498380476,0.555471360745019,0.603491042493875,0.522482803131001,0.549419438434886,0.539015198939678,0.565206848300928,0.622581835047915,0.578513187029734,0.763634036359691
"GP57",0.53823376656067,0.509394115722557,0.550635249846896,0.513393187332001,0.523271111483802,0.491781161755612,0.648713173420349,0.537145103613496,0.55157000288912,0.598738976412699,0.533039845716026,0.602723347179084,0.68870059805363,0.633356283058927,0.586644029976271,0.612293921263476,0.490976632879247,0.576234937193006
"GP58",0.558597892254097,0.516436261627611,0.53301480750452,0.699262109517484,0.517204787776231,0.494078052363923,0.550457995262787,0.548454613811256,0.554075776072786,0.49138776135602,0.545774482259964,0.564650237830386,0.504248336784168,0.560373578845259,0.563681878921917,0.538240057567377,0.52223508989438,0.574174218467548
"GP59",0.574375970753677,0.508368532310383,0.521429280833926,0.5798649837112,0.545360418649119,0.537698829065891,0.592861522856486,0.534992098443689,0.504345692624477,0.503426410203163,0.502465659246996,0.528046356442648,0.537593074902001,0.52476385306157,0.498811485590924,0.559806090900303,0.506737196568248,0.437513642407235
"GP60",0.550525202336005,0.518665603803696,0.556142392608116,0.572506920006213,0.543581389612774,0.562107697613375,0.680467981098367,0.533313583567363,0.542635753055714,0.581553174359683,0.505869216144459,0.531270633734568,0.560883210949176,0.681856682339507,0.515183508424074,0.659347755959762,0.561550342509012,0.558482748156182
"GP61",0.531650925316803,0.541287168141744,0.511164227659433,0.602331093463653,0.504620991042171,0.590251967052546,0.550808640372767,0.532614053162081,0.588879445328912,0.526773176311313,0.510338105501044,0.526149216099775,0.58428592880278,0.51565860711116,0.53008575974303,0.572734660816349,0.552840535085891,0.717373825481452
"GP62",0.5569627839861,0.585353589359275,0.604711614892652,0.613012387661144,0.61427429938487,0.570052621223194,0.674468535649983,0.589354333781283,0.795397394964428,0.516499943315799,0.529171526301936,0.508321772193674,0.667943902357397,0.616431394775166,0.510994498671975,0.531831776888547,0.515303007705079,0.668532418174167
"GP63",0.612029200772568,0.61317514776715,0.601452632963944,0.544173308099682,0.602939258903229,0.646161870208046,0.568099116122854,0.643378473893072,0.553544617377838,0.72095889436897,0.713883272390267,0.818210577635615,0.717851460765496,0.621602146831072,0.757175093547581,0.558495085204132,0.80138444907634,0.573134534585701
"GP64",0.516141979018525,0.545208913667517,0.540655990627664,0.546489420742814,0.509562353605701,0.533775847902892,0.583919781093934,0.512958948825369,0.565557182650299,0.579354942774941,0.548317736887799,0.5604893489237,0.51808142476176,0.555919296587814,0.516675756136919,0.508696628866356,0.527785488889338,0.544821056120465
