"GP","Positive markers","Negative markers","Prop. positive among gated (True Discovery Proportion)","Prop. positive among all cells","Well aligned"
"GP164","CD49B, CD24, CD29, ICAM1, ITAM.CD11B","",0,0,FALSE
"GP173","ITB7, CD24, CD103, FR4, CD8A","THY1.2",0,0.01,FALSE
"GP178","","CD45RB",0,0,FALSE
"GP182","CD44, ICOS.CD278, NEUROPILIN1.CD304, KLRG1, CD8B","CD45RB, CD38, GR1-LY6G-LY6C1-LY6C2, CD86, CD39",0,0.006,FALSE
"GP186","ITAM.CD11B, CD86, GITR.CD357, GR1-LY6G-LY6C1-LY6C2","CD27, THY1.2, ICOS.CD278, NEUROPILIN1.CD304, KLRG1, CD31",0,0,FALSE
"GP188","ITAM.CD11B, CD86, GR1-LY6G-LY6C1-LY6C2, GITR.CD357, CD45RB","THY1.2, ICOS.CD278, KLRG1, CD44",0,0,FALSE
"GP189","ITAM.CD11B, CD86, GR1-LY6G-LY6C1-LY6C2, GITR.CD357, CD45RB","THY1.2, ICOS.CD278, KLRG1, CD44, CD27",0,0,FALSE
"GP190","ITAX.CD11C, CD29, CD24","CD45RB",0,0,FALSE
"GP191","CD155.PVR, CD31","",0,0,FALSE
"GP193","","BTLA.CD272, CD160, CD27, CD69, CD31, CD155.PVR, ITB7",0,0,FALSE
"GP197","CD73.5NTD, CD8B, CD38, CD45RB, THY1.2, CD8A","CD4",0,0,FALSE
"GP198","","CD73.5NTD, CD2",0,0,FALSE
"GP200","CD29, NEUROPILIN1.CD304, CD8A, CD31, CD38, CD55.DAF","ICOS.CD278, B220, TCRGD, TCRVG3, CD160",0,0,FALSE
"GP1","THY1.2, CD45RB, CD5, CD2, CD55.DAF, CD44, CD11A, CD27, CD4, CD73.5NTD, CD62L, ITB7, CD31, IL7RA.CD127","",NA,1,FALSE
"GP4","CD5, CD45RB, CD55.DAF, CD4, CD31, THY1.2, CD73.5NTD, FR4, SCA1, CD38, CD2, CD11A, CD69, CD86, CD8A, CD62L, IL7RA.CD127, ITA4.CD49D, CD160","",NA,0.616,FALSE
"GP7","THY1.2, CD45RB, CD24, CD29, CD73.5NTD, CD38, CD103, CD44, CD8A, ICAM1, ITA4.CD49D, TCRGD, CD27, NEUROPILIN1.CD304, CD160, KLRG1, CD49B, IL2RA.CD25, ITB7, CD69, CD8B","CD4",NA,0.001,FALSE
